,SQL,Java,AWS,Git,Docker,Python,Kubernetes,JavaScript,React,GPT,LLM,Django,Flask,Claude,Gemini
SQL,1.0,0.5913978494623656,0.6,0.47058823529411764,0.4,0.3493975903614458,0.2804878048780488,0.1794871794871795,0.08433734939759036,0.06172839506172839,0.09090909090909091,0.06578947368421052,0.05194805194805195,0.05263157894736842,0.01282051282051282
Java,0.5913978494623656,1.0,0.5121951219512195,0.31521739130434784,0.2857142857142857,0.22727272727272727,0.2948717948717949,0.2222222222222222,0.08860759493670886,0.0379746835443038,0.03896103896103896,0.0,0.02666666666666667,0.0410958904109589,0.013513513513513514
AWS,0.6,0.5121951219512195,1.0,0.36486486486486486,0.29411764705882354,0.2054794520547945,0.3064516129032258,0.19298245614035087,0.1,0.06896551724137931,0.05263157894736842,0.0,0.03636363636363636,0.07692307692307693,0.018518518518518517
Git,0.47058823529411764,0.31521739130434784,0.36486486486486486,1.0,0.3492063492063492,0.25,0.23809523809523808,0.14035087719298245,0.10526315789473684,0.07272727272727272,0.05555555555555555,0.10204081632653061,0.038461538461538464,0.06,0.0
Docker,0.4,0.2857142857142857,0.29411764705882354,0.3492063492063492,1.0,0.3333333333333333,0.4444444444444444,0.10638297872340426,0.06382978723404255,0.045454545454545456,0.07317073170731707,0.1388888888888889,0.05128205128205128,0.02564102564102564,0.0
Python,0.3493975903614458,0.22727272727272727,0.2054794520547945,0.25,0.3333333333333333,1.0,0.22641509433962265,0.13043478260869565,0.08695652173913043,0.06976744186046512,0.1282051282051282,0.1388888888888889,0.1388888888888889,0.0,0.0
Kubernetes,0.2804878048780488,0.2948717948717949,0.3064516129032258,0.23809523809523808,0.4444444444444444,0.22641509433962265,1.0,0.125,0.10256410256410256,0.02631578947368421,0.12121212121212122,0.0,0.0,0.1,0.03225806451612903
JavaScript,0.1794871794871795,0.2222222222222222,0.19298245614035087,0.14035087719298245,0.10638297872340426,0.13043478260869565,0.125,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
React,0.08433734939759036,0.08860759493670886,0.1,0.10526315789473684,0.06382978723404255,0.08695652173913043,0.10256410256410256,0.15384615384615385,1.0,0.0,0.047619047619047616,0.0,0.11764705882352941,0.0,0.0
GPT,0.06172839506172839,0.0379746835443038,0.06896551724137931,0.07272727272727272,0.045454545454545456,0.06976744186046512,0.02631578947368421,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,0.16666666666666666,0.18181818181818182
LLM,0.09090909090909091,0.03896103896103896,0.05263157894736842,0.05555555555555555,0.07317073170731707,0.1282051282051282,0.12121212121212122,0.0,0.047619047619047616,0.2857142857142857,1.0,0.0,0.0,0.09090909090909091,0.1
Django,0.06578947368421052,0.0,0.0,0.10204081632653061,0.1388888888888889,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0
Flask,0.05194805194805195,0.02666666666666667,0.03636363636363636,0.038461538461538464,0.05128205128205128,0.1388888888888889,0.0,0.0,0.11764705882352941,0.0,0.0,0.25,1.0,0.0,0.0
Claude,0.05263157894736842,0.0410958904109589,0.07692307692307693,0.06,0.02564102564102564,0.0,0.1,0.0,0.0,0.16666666666666666,0.09090909090909091,0.0,0.0,1.0,0.16666666666666666
Gemini,0.01282051282051282,0.013513513513513514,0.018518518518518517,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.18181818181818182,0.1,0.0,0.0,0.16666666666666666,1.0
