job_category,ai_tool,평균_평점,리뷰_수
프리랜서,Adobe Premiere Pro,4.93,14
프리랜서,Canva,4.92,25
컨설팅/전략,Canva,4.9,10
마케팅/영업,Adobe Premiere Pro,4.9,21
경영/관리,Canva,4.87,509
고객지원,Grammarly,4.86,22
HR/인사,Canva,4.86,14
교육/연구,Canva,4.86,104
마케팅/영업,Grammarly,4.84,82
프리랜서,Grammarly,4.83,94
IT/개발,Canva,4.83,308
기타,Canva,4.82,526
디자인/UX,Figma,4.81,192
마케팅/영업,Canva,4.81,108
경영/관리,Grammarly,4.78,444
검증된리뷰어,Adobe Premiere Pro,4.76,83
데이터/분석,Canva,4.76,25
디자인/UX,Grammarly,4.76,50
교육/연구,Grammarly,4.76,100
IT/개발,Adobe Premiere Pro,4.76,116
검증된리뷰어,Canva,4.76,168
경영/관리,Figma,4.75,159
IT/개발,Figma,4.74,184
기타,Grammarly,4.74,314
IT/개발,Grammarly,4.74,415
검증된리뷰어,Grammarly,4.74,378
데이터/분석,Grammarly,4.74,72
마케팅/영업,Figma,4.73,26
데이터/분석,Monday.com,4.72,76
IT/개발,GitHub Copilot,4.7,10
디자인/UX,Canva,4.68,171
디자인/UX,Adobe Premiere Pro,4.66,62
기타,Adobe Premiere Pro,4.65,113
경영/관리,Adobe Premiere Pro,4.65,97
교육/연구,Tableau,4.64,73
기타,Figma,4.64,61
데이터/분석,Figma,4.64,11
검증된리뷰어,Figma,4.64,174
미디어/콘텐츠,Canva,4.64,14
데이터/분석,Tableau,4.62,298
교육/연구,Figma,4.62,16
마케팅/영업,Tableau,4.61,64
검증된리뷰어,Tableau,4.6,525
디자인/UX,Monday.com,4.6,62
교육/연구,Monday.com,4.59,17
기타,Tableau,4.59,219
경영/관리,Monday.com,4.59,680
마케팅/영업,Monday.com,4.58,98
프리랜서,Figma,4.58,12
교육/연구,Adobe Premiere Pro,4.57,14
기타,Monday.com,4.57,291
고객지원,Tableau,4.56,16
HR/인사,Monday.com,4.55,29
고객지원,Monday.com,4.54,24
IT/개발,Monday.com,4.52,451
경영/관리,Tableau,4.51,380
IT/개발,Tableau,4.51,368
디자인/UX,Tableau,4.5,12
미디어/콘텐츠,Adobe Premiere Pro,4.5,28
